site,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
IT-SRo,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,30.6,-9999.0,32.7,33.0,-9999.0,29.5,30.5,-9999.0,-9999.0,-9999.0,31.7,28.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
IT-Tor,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,nan,nan,nan,27.5,28.4,nan,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
NL-Loo,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,33.4,27.4,29.5,29.4,30.5,29.5,29.6,33.6,31.6,31.7,32.4,31.5,30.5,31.7,30.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
RU-Fyo,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,26.5,30.4,29.5,33.7,30.3,30.7,30.5,28.4,32.5,27.5,31.3,34.4,32.5,31.4,30.6,29.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-ARM,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,34.6,-9999.0,33.6,31.5,34.5,32.6,33.5,33.4,-9999.0,33.4,33.0,-9999.0,-9999.0,31.4,36.7,32.5,33.5,-9999.0
US-BZB,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,31.5,30.6,31.6,30.4,30.4
US-BZF,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,32.5,-9999.0,31.6,30.6,-9999.0
US-BZS,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,29.5,32.2,-9999.0,-9999.0,33.6,31.5,31.6,30.5,31.5,30.3,30.7
US-Blo,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,31.3,31.4,30.5,29.4,31.0,31.6,30.7,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-Ha1,-9999.0,-9999.0,26.6,29.3,28.6,25.5,29.7,31.5,29.6,30.6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,30.5,28.6,31.6,-9999.0,28.5,30.0,31.7,29.5,32.6,30.0,29.0,33.0,-9999.0
